;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_12;votesocialist, votebernie;2;greenwashing, greennewde, climactic, climatehero, environmentaljustic, greennewdea, protecttheepa;7;global_pandemic, lockdown;2;pharmac, heathcare, universalh, yestolousafety;4;0;0;spreadthestrike, evictionruinslive, payusmoreucsc, decommodified, homesguaranteela;5;inexcusable, exponentially, heartbreak;3
week_13;0;0;pipelineprotestor;1;covid, pandemic, pneumonia, immunization;4;medical_supply, respiratory, healthfair, abortioncareishealthcare, abortionisahumanright;5;opportuntie;1;studentdebt, childcareforall;2;unparalleled;1
week_14;votar;1;climatechange, keepitintheground;2;covid_outbreak, hand_sanitizer, immunocompromise, influenza, sanitizer, coronaoutbreak, chornically, immunocomp;8;pharmacy, healthcar, myrightmydecision, medicaidexpansion;4;0;0;stopdhaeviction, voteberniegetgrandkid, raisethewage;3;unprepared;1
week_15;0;0;earthday, ecofascist, greennewdealnow, climatecha, ecomodernism, renewableenergy, thefutureisapublicgood, voteclimate;8;covid_crisis, social_distancing, response_covid, coronavirus_pandemic, test_positive, protective_equipment, non_essential, socially_distance, coronaviruspandemic, stayathome, coronav, cov, antiviral, handwashing, hygienic, quarantining, rehabilitation, coronavirusupdate, immunocompromised, coronapandemic, coronapocalypse, coughing, immunosuppresse, pandemia, coron, coronapandem, coronavir, coronavirusillinois, disinfected, immunocomprimise, ventilator;31;paidsickleave, universalhealthcare, psychiatric, earnedsickleave, healthc, healthnoteviction, tuberculosis, bidendoesntsupportmedicareforall, curing, disabilitie, healthyhome, joebidendoesntsupportmedicareforall, masshealth, undermedicate;14;0;0;hazard_pay, rent_mortgage, rent_freeze, suspend_rent, mortgage_payment, relief_fund, eviction_foreclosure, utility_payment, stimulus_package, foreclosure_utility, rentfreeze, evictionmoratorium, evicti, housingishealthcare, cbusevictionfreeze, banshutoff, freezeevictionsboulder, shutoffskill, universalchildcare;19;desastre, irreversible;2
week_16;crowdsource, acton, freethemall;3;fuel_industry, nofossilfuelbailout;2;essential_worker, frontline_worker, covid_bulletin, middle_pandemic, endcovidsanction, nocovidcapitalism, pandemi, covi, cuomoscovid, coronavirusoutbreak, nonessential, socialdistance, coronavi, pandem, socialistdistancing, coronacrisis, coronovirus, flattenthecurve, postponetheprimarie, symptomatic, canceleverythe, coronaviru, endcovid, shutdownmass, nnjcoronanews, quarantined, staysafestayhome, caronavirusoutbreak, coronapocolypse, coronavirusoutbreakindia, coronoavirus, disinfection, flatteningthecurve, fuckcovid, marylandcoronavirus, nonessentia, quarantineandchill, socialdistancing, staythefhome, workfromhome;40;healthcareforall, telemedicine, freethemallforpublichealth, nomedicaidcut, ourpatientsdeservebetter, nationalizeourhospital, healthierjc, healthinsurance, sickpayforall;9;feasible;1;cancel_rent, rentfreezenow, file_unemployment, precariousness, endrent, evictionmora, homesandpeoplefirst, norentny, strentstrike;9;manslaughter;1
week_17;0;0;greenstimulus, agroecology, greenstimulu;3;givemeppe, getusppe, righttorecovery, healthyla, coronaviruscapitalism, stayhome, pande, notdyingforwallstreet, dieforthedow, endcovidsanctions, lvdsafightsback, whichsideareyouon, coronaaid, covidactnow, endcovidsanctio, epidemi, epidemiology, sanctionski, stlcovidaid, unsanitized;20;freethemall_publichealth, disabilities, telehealth, expandmedicaid;4;0;0;cancelrent, peoplesbailout, canceltherent, rentzero, suspendrent, norent, forbearance, hazardpaynow, homelesscantstayhome, nomortgage, rentsuspension, unemploym, nonpayment, decommodifysurvival, evictionfree, nocovidevi, nojobs, nowage, rentmutiny, rentrevolt;20;catastrop, powerlessness;2
week_18;0;0;earthmonth, greenjobsnocut;2;essentialwork, essentialworker, positive_covid, coronaviruscrisis, respirator, coronaviruslockdown, covidien, epdimolgist, prisonpandemic, quaran, socialdistanac, ucsfmaskdrive;12;medicareforallnow, protectmedicaid, healthcareheroe, healthnothandcuff, medcaid;5;0;0;cancelmortgage, protectallworker, rentrelief, housedandhealthy, adaywithoutdomesticworker, bailoutpeoplenotcorporat, baneviction, homesnothomeless, housingguaranteema, rentday, rentstrik;11;0;0
week_19;ijoineddsa, solidarityinaction, votebymail;3;fossilfreeum;1;decarceratecovid, flprisonscovid, covidrelief, fightcovidnotvenezuela, healthyathome, pandemicin, quarantinelivestream;7;abortionisessential, autoimmune, medicareforyall, alamedahealthsystem, medicalbrigades, ruralhealthcare, unitedhealthcare;7;systemicchange;1;cancelrentnj, contractthatwork, hazardpay, contractthatworks, evictionmoratoriu, housesnothandcuff, landlordchallenge, wageslave;8;0;0
week_20;hungerstrike;1;decarbonized, capitalismvstheclimate, greennewdealsd;3;emergency_guarantee, nyucanaffordit, ppeoverprofit, cvillecovidcare, frotnline;5;recoveryforall, helathcare, medicat;3;0;0;cancelrentjb, debtfreefuture, maydayrentstrike, mortgag, savethepostoffice, shareyourcheck, cancelrentusa, homeownership, allmeansall, cancelrentandmortgage, emergencyubi, fixunemploymentnow, foodbankchallenge, rentstri, stimulusdeposit, stimuluspayment;16;0;0
week_21;0;0;dallasclimateaction, countdowntokeepmisafe, dallasclimatea, dallaspeoplesclimateaction, dallasclimateac, dallasclimateplan, dallaspeoplesclimateplan, defundclimatechange, mygreendream, rainforest;10;workersoverendowment, nobigoilbailout, nyumakesussick, coronastrike, immigrantsareessential, strikeforourlive, micovid, lockdownextension, mkemutualaidcovid, mycovidstory, physicaldistance, quarantstream, saferathometogether, wernotdisposable;14;pharmacie;1;0;0;workersmemorialday, cancerent, homele, noevictionsonstolenland, norentmi, protectmotenants, stimuluscheckchallenge;7;0;0
week_22;0;0;environmentalism, greennewtva;2;ppeforall, essentialworkersday, iamessential, protectessentialworker, essentialnotexpendable, essentialworke, justcovidresponse, wearetheshutdown, coronabux, essentialbutexclude, saferathome, sickoutnyu, stopthespread;13;disablednotdisposable, fundabortionbuildpowercelebratesolidarity, abortionfund, ourpatientsdeservebett, righttorecov, thisthingtheycallrecovery;6;0;0;mortgage_cancellation, maydaystrike, cancelrentwisconsin, cancelmortgageswisconsin, homesforall, workerprotection, rentstrikeny, canceldebt, foodnotrent, higheredworksbecausewedo, cancelrentcaravan, debtfreefutur, economicbillofright, peoplesrecovery, protectworker, safetyishousingrelief, stimulussolidarity;17;0;0
week_23;jjworkersunite;1;0;0;covidcrisis, unessential, frontlineworker, healthworkersdefendnc, ourlivesovertheirprofit, protectallworkers;6;healthcareemergencyguaranteeact, ridetorecovery, thankyounurse, emergencyhealthcareguaranteeact, medicarefor, nationalnursesweek;6;0;0;utilitiesstrike, cancelbills, stopmasseviction, decommidfication, housethehomeless, stopeviction;6;devasta;1
week_24;0;0;stopthewilliamspipeline;1;cutcovidnotcuny, helpnotdeath;2;chemotherapy;1;0;0;cancelr, tenantorganize, unemployement;3;0;0
week_25;0;0;makethempay;1;capitalismisthepandemic, sandersonfarmscovid;2;supportnurse, healthcareemergencyguara, healthcareemergencyguarantee, healthcarenotwarfare;4;0;0;blackworkersmatter, cancelarlarenta, cancelmor;3;0;0
week_26;condemn_public, activ, activitist;3;0;0;covidiot, cuomoscovidcrisis, hydroxychloroquine;3;0;0;0;0;humancapitalstock, cancelren, evicting, unemployedtogethersantafe, utilitystrike;5;0;0
