;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
51;greennewd;3;0.0036832864737443064;3;0.0036832864737443064
52;greenpeace;1;0.0012277621579147688;5;0.0061388107895738436
53;nofossilfuelbailout;0;0.0;1;0.0012277621579147688
54;agroecology;0;0.0;4;0.004911048631659075
55;clima;2;0.0024555243158295376;3;0.0036832864737443064
56;deforestation;1;0.0012277621579147688;4;0.004911048631659075
57;ecofascist;0;0.0;5;0.0061388107895738436
58;environmentalism;0;0.0;5;0.0061388107895738436
59;exxonmobil;3;0.0036832864737443064;2;0.0024555243158295376
60;makethempay;0;0.0;5;0.0061388107895738436
61;stopthewilliamspipeline;0;0.0;5;0.0061388107895738436
62;vegetarian;2;0.0024555243158295376;3;0.0036832864737443064
63;exxonknew;3;0.0036832864737443064;1;0.0012277621579147688
64;countdowntokeepmisafe;0;0.0;3;0.0036832864737443064
65;dallasclimatea;0;0.0;3;0.0036832864737443064
66;decarbonized;0;0.0;3;0.0036832864737443064
67;environmentaljustice;1;0.0012277621579147688;2;0.0024555243158295376
68;greenn;0;0.0;3;0.0036832864737443064
69;greenwashing;0;0.0;3;0.0036832864737443064
70;renewableheatnow;1;0.0012277621579147688;2;0.0024555243158295376
71;climateaction;0;0.0;2;0.0024555243158295376
72;climateactionnow;1;0.0012277621579147688;1;0.0012277621579147688
73;dallaspeoplesclimateaction;0;0.0;2;0.0024555243158295376
74;ecologically;0;0.0;2;0.0024555243158295376
75;fridaysforfuture;2;0.0024555243158295376;0;0.0
76;greennewde;0;0.0;2;0.0024555243158295376
77;greennewdealnow;0;0.0;2;0.0024555243158295376
78;greennewdealva;2;0.0024555243158295376;0;0.0
79;nopipeline;0;0.0;2;0.0024555243158295376
80;systemchangenotclimatechange;1;0.0012277621579147688;1;0.0012277621579147688
81;capitalismvstheclimate;0;0.0;1;0.0012277621579147688
82;climactic;0;0.0;1;0.0012277621579147688
83;climateact;1;0.0012277621579147688;0;0.0
84;climateactivist;1;0.0012277621579147688;0;0.0
85;climatecha;0;0.0;1;0.0012277621579147688
86;climateelection;1;0.0012277621579147688;0;0.0
87;climatehero;0;0.0;1;0.0012277621579147688
88;climatic;1;0.0012277621579147688;0;0.0
89;dallasclimateac;0;0.0;1;0.0012277621579147688
90;dallasclimateplan;0;0.0;1;0.0012277621579147688
91;dallaspeoplesclimateplan;0;0.0;1;0.0012277621579147688
92;defundclimatechange;0;0.0;1;0.0012277621579147688
93;earthmonth;0;0.0;1;0.0012277621579147688
94;ecoapartheid;1;0.0012277621579147688;0;0.0
95;ecofasci;1;0.0012277621579147688;0;0.0
96;ecomodernism;0;0.0;1;0.0012277621579147688
97;environmentaljustic;0;0.0;1;0.0012277621579147688
98;fossilfreeum;0;0.0;1;0.0012277621579147688
99;gettheleadoutcoalition;0;0.0;1;0.0012277621579147688
100;gogreenvotere;1;0.0012277621579147688;0;0.0
101;greenjobs;1;0.0012277621579147688;0;0.0
102;greenjobsnocut;0;0.0;1;0.0012277621579147688
103;greennewdea;0;0.0;1;0.0012277621579147688
104;greennewdealsd;0;0.0;1;0.0012277621579147688
105;greennewtva;0;0.0;1;0.0012277621579147688
106;greenstimulu;0;0.0;1;0.0012277621579147688
107;keepitintheground;0;0.0;1;0.0012277621579147688
108;mygreendream;0;0.0;1;0.0012277621579147688
109;orclimateaction;0;0.0;1;0.0012277621579147688
110;pipelineprotestor;0;0.0;1;0.0012277621579147688
111;protecttheepa;0;0.0;1;0.0012277621579147688
112;rainforest;0;0.0;1;0.0012277621579147688
113;renewableenergy;0;0.0;1;0.0012277621579147688
114;socialecology;0;0.0;1;0.0012277621579147688
115;sunrisemovement;1;0.0012277621579147688;0;0.0
116;thefutureisapublicgood;0;0.0;1;0.0012277621579147688
117;voteclimate;0;0.0;1;0.0012277621579147688
